license_id_value,fgp_publish
"Disclaimer:For data delivered online or by physical media by the Manitoba government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages, or third party claims resulting from the use of these data, even if the Manitoba government has been advised of the possibility of such potential loss or damage. ",oui
"Disclaimer:For data delivered online or by physical media by the Manitoba government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages, or third party claims resulting from the use of these data, even if the Manitoba government has been advised of the possibility of such potential loss or damage. The Manitoba government is not responsible for errors in data sourced from external jurisdictions.",oui
"Disclaimer: For data delivered on-line or by physical media by the Manitoba government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. Manitoba government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. Manitoba government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba government has been advised of the possibility of such potential loss or damage.Manitoba Agriculture:provides large and fine-scale soil and weather data, and their related interpretationsis the most recognized authority for soil and weather information in Manitobamakes every effort to verify that surveillance data and interpretations are accurate and currentcontinuously updates, sorts and verifies data adding new information as it is availableSome restrictions on use and reproduction apply. Please visit our copyright page and review our disclaimer for details prior to use.",oui
"For data delivered on-line or by physical media by the Province of Manitoba, Manitoba Maps: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user. Manitoba Maps is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. Manitoba Maps shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if Manitoba Maps has been advised of the possibility of such potential loss or damage.",oui
"Geospatial Open Data Licence - Licence de données géospatiales ouvertes – Manitoba",oui
"LICENSE:The Forest Management in Canada data is subject to the government of Canada Open Data License Agreement.DISCLAIMER:For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"LICENSE:The Forest Management in Canada data layer is subject to the government of Canada Open Data License Agreement.DISCLAIMER:For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"LICENSE:The Forest Management in Canada map is subject to the government of Canada Open Data License Agreement.DISCLAIMER:For data delivered on-line or by physical media by the Manitoba Government:Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date and interpretation of the original source materials.You should consult available data documentation (metadata) for these particular data to determine their limitations and the precision to which they depict distance, direction, location or other geographic characteristics. These data may be subject to periodic change without prior notification.No Warranty: These data are provided as is, without any warranty whatsoever, including but not limited to any warranty as to their performance, merchantability, or fitness for any particular purpose.Liability: The entire risk as to the results of the use of these data is assumed by the user.The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it.The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
"Manitoba Open Data Licence This boundary is not to be used as a legal definition. Please obtain a Director of Surveys plan from the Manitoba Survey Services for delineating legal boundaries.",oui
"Manitoba Open Data LicenceThis is an active layer, data can change daily. All departments and agencies impacted will receive all necessary updates.",oui
"Manitoba Open Data LicenceThis is an active layer, date can change daily. All departments and agencies impacted will receive all necessary updates.",oui
https://www.gov.mb.ca/geomb/pubs/geospatialopendatalicence.pdf,oui
https://www.gov.mb.ca/legal/copyright.fr.html,oui
https://www.gov.mb.ca/legal/copyright.html,oui
https://manitoba.ca/legal/copyright.html,oui
https://manitoba.ca/legal/copyright.fr.html,oui
"Geospatial Open Data Licence",oui
"Manitoba Geospatial Open Data License Manitoba Open Data Licence",oui
Manitoba Open Data LicenceLicence relative au site Ouverture MB,oui
"Manitoba Open Data Licence | Licence relative au site Ouverture MB",non
Manitoba Open Data Licence | Licence relative au site Ouverture MB,non
unknown,non
This boundary is not to be used as a legal definition. Please obtain a Director of Surveys plan from the Manitoba Conservation Survey Services Branch for delineating legal boundaries.,non
Manitoba Open Data Copyright,oui
Manitoba Open Data Licence | Français Licence relative au site Ouverture MB,oui
Licence relative à l’utilisation de données ouvertes du Manitoba,oui
http://creativecommons.org/publicdomain/zero/1.0,non
"DISCLAIMER: For data delivered on-line or by physical media by the Manitoba Government: Although extensive effort has been made to produce error free and complete data, all geographic information has limitations due to the scale, resolution, date, interpretation of the original source materials and the available source data at the time of creation.Mapping is a representation of multiple data sources and may not be in the exact physical location as depicted. These data may be subject to periodic change without prior notification. No Warranty: These data are provided as is, without any warranty, including but not limited to any guarantee as to their performance, merchantability, or fitness for any particular purpose. Liability: The entire risk as to the results of the use of these data is assumed by the user. The Manitoba Government is not responsible for any interpretation or conclusions based on these data made by those who acquire or use it. The Manitoba Government shall not be liable for any direct, indirect, special, incidental, compensatory or consequential damages or third party claims resulting from the use of these data, even if the Manitoba Government has been advised of the possibility of such potential loss or damage.",oui
