postsecondary education,eng
postsecondary education savings,eng
pourcentage de femmes,fra
pourcentage de la population féminine,fra
poverty,eng
pregnancy rates,eng
premises,fra
prêts étudiants consentis par le gouvernement,fra
price,eng
price index,eng
prices,eng
private households,eng
prix,fra
production d'électricité,fra
produit intérieur brut,fra
produits industriels,fra
professeurs à temps plein,fra
professeurs adjoints,fra
professeurs titulaires,fra
professions de gestion,fra
programme d'apprentissage,fra
programmes gouvernementaux de prêts étudiants,fra
property,eng
propriété,fra
propriété publique,fra
protected,eng
protégé,fra
province,eng
public and private investment,eng
public school,eng
publicly owned,eng
publicly owned public transit assets,eng
quotidien ou occasionnel,fra
rail,eng
railway,eng
railway industry,eng
raison,fra
raster image,eng
reason,eng
recherche et développement,fra
refuges pour sans-abri,fra
region,eng
région,fra
registrations,eng
registre d'entreprise,fra
rémunération horaire moyenne,fra
rémunérés à l'heure,fra
report,eng
research and development,eng
réseau,fra
réseau routier,fra
reserve,fra
résident non permanent,fra
residential facilities,eng
retail trade,eng
returning,eng
revenant,eng
revenu,fra
revenu familial et personnel,fra
revenu personnel,fra
revenu total au nb,fra
revenu total par sexe,fra
revenus,fra
revenus des commissions scolaires,fra
rfn,eng
richesse,eng
river,eng
rivière,fra
road network,eng
roadkill,eng
roads,eng
routes,fra
rural,eng
ruraux,fra
salaire,fra
salaire par profession,fra
salaried employees,eng
sales,eng
sans emploi,fra
santé,fra
school,eng
school board revenues,eng
school district,eng
school year,eng
seafloor,eng
secondary education,eng
secteur d'exécution,fra
sections,eng
selected crime statistics,eng
self-harm,eng
self-reported incidents,eng
selling price index,
semaine normale de travail,fra
senior,eng
senior executive expenses,eng
senior management,eng
service centre,eng
services correctionnels,fra
services de restauration et les débits de boissons,fra
sex,eng
sexe,fra
sexual assault,eng
shipments,eng
single use,eng
single use plastics,eng
société canadienne d'hypothèques et de logement,fra
soil,eng
soin des enfants,fra
soins,fra
soins personnels,fra
sol,fra
sound recording,eng
source directe de fonds,fra
source of funds,eng
sources de financement,eng
sources of funds,eng
species,eng
spending,eng
spot height,eng
spousal violence,eng
statistics,eng
statistiques,fra
statistiques de revenus,fra
status,eng
statut,fra
statut d'immigrant,fra
statutory,eng
stocks,eng
straws,eng
student loan programs,eng
substrat rocheux,fra
suicide,eng
tableau de bord de la reprise économique,fra
tableau de bord économique,fra
tâches ménagères,fra
taille de la famille,fra
taux de chômage,fra
taux de classement pondérés,fra
taux de divorce,fra
taux de fécondité,fra
taux de grossesse,fra
taux de participation,fra
taux de population,fra
taux de postes vacants,fra
taux d'emploi,fra
taxation,fra
terrain,fra
terre humide,fra
terres agricoles,fra
terres de la couronne,fra
tick,eng
tique,fra
topographic,eng
topographique,fra
total domestic expenditures,eng
total income by sex,eng
total income in nb,eng
tourbe,fra
tourbiere,fra
tourism,eng
touristiques,fra
training and learning,eng
tranche d'âge,fra
tranches d'adresses,fra
transformation,fra
transformation des coordonnées,fra
transport,eng
transport urbain,fra
transportation,eng
travail de soin,fra
travellers,eng
travelling,eng
trou de forage,fra
tuition fees,eng
types de famille,fra
under construction,eng
unemployed,eng
unemployment rate,eng
united states,eng
units,eng
urbain,fra
urban,eng
urban transit,eng
usage,fra
usage unique,fra
use of own bags or containers,eng
utilisation,fra
utilisation de ses propres sacs ou contenants,fra
valeur par acre,fra
valuation,eng
value per acre,eng
vehicles,eng
véhicules,fra
véhicules automobiles,fra
véhicules automobiles neufs,fra
ventes,fra
victimes de mauvais traitements,fra
victimes de violence conjugale,fra
victimes de violence entre partenaires intimes déclarée par la police,fra
victimisation avec violence,fra
victimisation violente,fra
victims of abuse,eng
victims of spousal abuse,eng
viewer,eng
violence,eng
violence conjugale,fra
violent victimization,eng
visualiseur,fra
vote,eng
voting,eng
voyageurs,fra
voyageurs internationaux,fra
wage gap,eng
wages,eng
wages by occupation,eng
water,eng
watershed,eng
wealth,eng
weight,eng
weighted clearance rates,eng
well,eng
wellfield,eng
wetland,eng
wholesale trade,eng
wildlife,eng
women,eng
women full time professors,eng
women in management positions,eng
women owned enterprises by provinces,eng
women's equality,eng
wood,eng
wood pellets,eng
work stoppage,eng
work week,eng
year of marriage,eng
zaa,eng
znp,eng
zones inondables,fra
