id,notes
5ecd7bb2-de43-4365-a4f5-27aaf4b19c84,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
8f157582-5f6f-47bc-b490-0fca912e27f1,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
8b6a44a6-f7bc-44cc-aa24-aed86f9f8e8f,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
f4ab8a74-6c59-4a41-8059-8e7a3312466c,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
bfc27f49-f8ea-49e6-8c0f-54002937324b,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
987dbde9-8899-467c-bf9a-0a798cc8724e,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
3aa56e6f-4520-494d-bdf1-0c5350a71928,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
a4158c9e-70ce-442f-abc8-02305c3144c3,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
3c848214-8743-47ff-b5c7-68e136f11306,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
aff8180f-181d-4b10-aeb0-fa06453ee597,"This map service provides access to most of the Resource Map datasets shown on the GeoAtlas application.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse. They are therefore identical and share the same refresh schedule.
This map service is used by the GeoATLAS web application, sub-section Resource Map in the Mineral Exploration theme. It includes Base Metals Potential, Coal Potential, Gold Potential, Helium Potential, Bitumen (Oil Sands) Potential, Major Peat Resource Potential, Potash and Salt Resource Potential and Uranium Potential schema in Production Data Warehouse. Note: Oil and Gas pools are found in the /Petroleum service."
28006e8c03243c8888013d1ea4805e1,"This dataset shows the location of the distribution of uranium deposits for the Province of Saskatchewan.
This dataset shows the uranium deposits for the Province of Saskatchewan and is designed for the Resource Map of Saskatchewan. Mapping in support of the dataset includes years of field observations which were then compiled and integrated into this dataset. The data was created as a file geodatabase feature class and output for public distribution.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse.  They are therefore identical and share the same refresh schedule."
287612147ab4f0a9863148f76170f00,"The Saskatchewan Digital Land Cover was created to be used in the interim. The National Land Cover Project plans to integrate land cover information compiled by Natural Resources Canada, Canadian Forest Service, and Agriculture and Agri-Food Canada.
The Saskatchewan Digital Land Cover raster provides a seamless provincial coverage of the province and was created by combining the Saskatchewan Research Council's Northern Digital Land Cover (NDLC) with the Southern Digital Land Cover (SDLC) - See enclosures for complete metadata on these datasets. With exception to the SDLC's value 2 (i.e. Hay Crops) and value 3 (i.e. Native Dominant Grass Lands), the NDLC takes precedence over the SDLC in areas that the two rasters overlap because the NDLC is more current than the dated SDLC. The SDLC's values 2 and 3 were preserved because these land covers are not specifically represented in the NDLC. For the purpose of this dataset, some of the SDLC and NDLC values were reclassified to new values to reconcile varying definitions (i.e. See the Supplementary Information section below for a complete list of image classes with detailed descriptions). A unique colourmap was created for this dataset. It should also be noted that because the NDLC's 30 x 30 metre pixels do not align with the SDLC's 30 x 30 metre pixels, this raster was snapped to the NDLC. Last, as is with the SDLC and the NDLC, the extent of this raster does not extend all of the way to the Saskatchewan boundary, specifically, the Information Services Corporation's SaskGIS Provincial Boundary dataset, in numerous areas along the west, south and southeast borders: There are gaps of up to 500 m wide of no data between the provincial boundary and the raster along these areas of the Saskatchewan boundary."
3d448ac3b904347bc832054b442579e,"These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks. Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou
These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks.
Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou"
4d1ed6d94ae4cd3ab85b4a86d811283,"Habitat Protection and management are the primary focus of the Fish and Wildlife Development fund. This data includes lands used for management of habitat within the Province.
Saskatchewan Environment's Fish and Wildlife Development Fund Lands (FWDF) derived from ISC's (1:20,000) surface layer.
As anglers, hunters and trappers in Saskatchewan, you recognize that healthy and diverse wildlife populations are an indication of a healthy ecosystem. Your responsible conservation ethic and love of nature are making positive and vital contributions to the management and preservation of wildlife and wildlife habitat. The revenue (30 per cent) from all fur, angling and hunting licences you purchase, is used to manage, preserve and enhance fish and wildlife habitat.
The fund has identified three fish and wildlife management goals:
-Maintain natural habitat through conservation, biodiversity, land management and awareness of rare species.
-Maintain and grow sustainable fish populations and their habitat.
-Maintain game populations and ensure accessible hunting."
5c4901b2d7c4ec5812c45847515f1cd,"Saskatchewan Airports Map
International, provincial and regional airports map"
65302a65370408ea0ad93503f3d7bd0,"The map describes the surface type of Saskatchewan Highways including AC Paved, Granular Paved, TMS, Gravel and Winter Ice Roads."
6f646aa2ae54d18a7d7526c3389b9d1,"Primary Weight, Provincial Highways and RM Roads, Clearing the Path Corridors Map.
A map of primary weight provincial highways and RM roads clearing the path corridors."
7ab85e3125a4750a88805c2b5b76892,"Highway summary statistics dashboard.
This dashboard provides summary statistics for Highways based on regions and surface types."
8269852f1e43dfbe76dd171b41de35,"OTHERROAD_OFFICIAL provides the geospatial information of urban road network in the Province of Saskatchewan. It is one of the base layer used to create Roadseg layer for Saskatchewan Upgraded Road Network (SURN) and National Road Network (NRN). This data layer contains relatively up-to-date and accurate description of all urban roads in the province
OTHERROAD_OFFICIAL consists of all the roads within the urban limits and any other roads those are not the part of RURALROAD_OFFICIAL and HIGHWAY_OFFICIAL. Original geometry of this layer is derived from National Road Network data layer. Urban Municipalities are responsible of the correctness and currentness of the Urban road network and Saskatchewan Ministry of Highways and Infrastructure (MHI) maintained OTHERROAD_OFFICIAL data layer/table according to the NRN standards. Unique Identifiers (NID) is associated with each line segment. OTHER_ROAD_ID is an auto generated unique ID for each road segment in OTHER_ROAD_OFFICIAL. NID National Identifier is used to manage the updates between data producer and data users. OTHERROAD_OFFICIAL data layer is one of the important data table for SURN, NRN, SASK911, CAR and other applications."
8bf990eae7746509f47641c999396fa,"Rural Road Classification Map.
A map of rural road classification of provincial highways."
9a1f037719a491c9c43d56ace8999ab,"Gross merchantable volume - softwood (GMVSWD) is an expression of merchantable stem softwood volume (m3) on a per-hectare basis. Available here as a raster (GeoTIF) with a 20 m pixel resolution.
The Saskatchewan Ministry of Environment, Forest Service Branch, has developed a forest resource inventory (FRI) which meets a variety of strategic and operational planning information needs for the boreal plains. Such needs include information on the general land cover, terrain, and growing stock (height, diameter, basal area, timber volume and stem density) within the provincial forest and adjacent forest fringe. This inventory provides spatially explicit information as 10 m or 20 m raster grids and as vectors polygons for relatively homogeneous forest stands or naturally non-forested areas with a 0.5 ha minimum area and a 2.0 ha median area. 
Gross merchantable volume per hectare - softwood (GMVSWD) is an expression of merchantable softwood stem volume (m3) on a per-hectare basis. Calculations are made assuming a cut-to-length scenario, and including all stem wood from a 30 cm stump height to an 8 cm top diameter (inside bark), with a minimum bole length of 5.1 m and a minimum log length of 2.4 m for softwood. GMVSWD is available here as a color-mapped 16-bit unsigned integer raster grid in GeoTIFF format with a 20 m pixel resolution. An ArcGIS Pro layer file (*.lyrx) is supplied for viewing GMVSWD data in the following 50 m3/ha categories."
9d713f7de445f092392d1ee72cb89a,"This dataset represents the digital compilation of the Mineral Assessment Ground surveys of the Province of Saskatchewan.
This dataset represents the digital compilation of the Mineral Assessment Ground surveys of the Province of Saskatchewan.  This data shows Mineral Assessment Work Catalogue: Outlines of areas and descriptions of work submitted for mineral assessment credits (Ground surveys). This is an ongoing assemblage of mineral assessment ground surveys. The data was created as a file geodatabase feature class and output for public distribution.
**Please Note – All published Saskatchewan Geological Survey datasets, including those available through the Saskatchewan Mining and Petroleum GeoAtlas, are sourced from the Enterprise GIS Data Warehouse.  They are therefore identical and share the same refresh schedule."
9e8d54a903b435192adaf6274c43a89,"These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks. Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou
These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks.
Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou"
b06728195384b608c7f74cbd7ac16a4,"Special Management Areas are part of a network of protected lands in Saskatchewan. The following dataset accurately defines SMA land areas in Saskatchewan that have various levels of developmental restrictions.
The Minister of Environment wishes to identify “Special Management Areas” to be managed for the following purposes:a) the protection, enhancement or restoration of natural ecosystems, wildlife habitat or habitat of rare, threatened or endangered plant or animal species;b) the retention of significant botanical, zoological, morphological, historical archaeological features respecting the land;c) the conservation of soil, air and water quality; and the opportunity for scientific research and study related to the ecological health of the area.
Please visit https://geohub.saskatchewan.ca/ for more information or downloading this data."
b715f99457497e95d74e4b4dde7a13,"Ramsar Weltand features are part of the Protected Areas coverage's for Saskatchewan.
Ramsar Wetland are Wetlands of international importance for flood control, nutrient production, wildlife habitat and other related purposes. Management procedures to prevent the destruction and deterioration of wetlands through state adherence to an international convention known as RAMSAR, signed in Iran in 1971. One in a series of Protected Areas coverage's created in 1996 by Canadian Plains Research Centre, University of Regina.
Please visit https://geohub.saskatchewan.ca/ for more information or downloading this data."
be666fcd6394dc0a6a54c1659eb3af6,"Wildlife Refuges in Saskatchewan.
The Saskatchewan Wildlife Refuges are described in Part V of the Wildlife Management Zones and Special Areas Boundaries Regulations (WMZSABR). They are constituted as areas for protecting, propagating, managing, controlling, regulating or enhancing wildlife or its habitat.
Please visit https://geohub.saskatchewan.ca/ for more information or downloading this data."
f164d6d57ad437f82c902098d06463d,"The Wildlife Management Zone polygons are a representation of the zones as described in legislation. They are used for the management of wildlife in Saskatchewan.
Wildlife Management Zones (WMZ) are used for the management of wildlife, mainly game species, in the Province of Saskatchewan. Hunting activities are governed and wildlife populations (inventories) are monitored using these zones. These assigned zone boundaries help address the wildlife management issues of the day and are subject to change as wildlife populations and management practices evolve. The last revision to the WMZ boundaries was March 27, 2014. This revision moves some boundaries to readily identifiable landmarks such as numbered highways, municipal roads or water bodies for ease of public use. Descriptions are written in a manner that better allows boundaries to follow highway or provincial forest boundary updates without ammending the regulation. These boundaries are described legally in the Wildlife Management Zones and Special Areas Boundaries Regulations, 1990 (shortened to WMZSABR for dataset naming). These regulations are in force under The Wildlife Act, 1998. Copies of these documents can be found at www.qp.gov.sk.ca.
This spatial feature class is the polygon representation of the zones as described in the regulation. Although these digitized boundaries are intended to be as accurate as possible, the regulations supersede this data should discrepancies occur.
The polygons you see here are constructed from the lines contained in the WMZ framework feature class, which is a clause by clause representation of the legal regulation. Regulation changes to the zones, when they occur, should be digitized in the framework first, and then constructed into polygons for this feature class. This maintains consistency, accuracy and serves as a quality control process for these legally designated areas."9e8d54a903b435192adaf6274c43a89,"These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks. Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou"
48eda0e7c154b9f8cb473eef62b360e,"These Final Caribou Habitat Management Areas (CHMAs) are based on known woodland caribou use and habitat potential mapping; in addition, levels of both human-caused and wildfire disturbances were also taken into consideration. Tier 1 areas were selected because they include high-moderate caribou habitat potential with high levels of observed caribou use and low levels of human-caused disturbance. Tier 2 areas were selected because they include areas of high-moderate woodland caribou habitat potential with observed use and higher levels of wildfire and human-caused disturbance. Tier 3 areas provide general habitat and maintain habitat connectivity between Tier 1 and Tier 2 areas. CHMAs are not intended to be in these fixed locations in perpetuity and may change locations on the landscape in response to habitat disturbance recovery, wildfire, changes in land use, and woodland caribou population trends. Different management actions and strategies will be developed for each Tier based on their stated management objectives and relative importance to and known use by caribou, current habitat condition and potential risks.
Find out more about woodland caribou and what the province is doing to manage their habitat and protect their populations: https://www.saskatchewan.ca/business/environmental-protection-and-sustainability/wildlife-and-conservation/wildlife-species-at-risk/woodland-caribou"
