original_value,real_value_english,real_value_french,code_value
health,health_and_safety,,
health and wellness,health_and_safety,,
home and community,society_and_culture,,
hôpitaux,health_and_safety,,
hospital,health_and_safety,,
housing communities and social support,society_and_culture,,
imam,society_and_culture,,
imam,persons,,
impôt sur le revenu,economics_and_industry,,
impôt sur le revenu,government_and_politics,,
impôts et avantages fiscaux,economics_and_industry,,
income tax,economics_and_industry,,
income tax,government_and_politics,,
infrastructure and transportation,transport,,
infrastructure et transport,transport,,
inland lakes,nature_and_environment,,
inmates,law,,
jobs and employment,labour,,
junior,ignore,,
justice and public safety,law,,
lacs,nature_and_environment,,
lakes,nature_and_environment,,
lamb,agriculture,,
law and safety,law,,
livestock,agriculture,,
logement collectivités et soutien social,society_and_culture,,
lois et sécurité,law,,
mariage,society_and_culture,,
mariage,persons,,
market value,economics_and_industry,,
marriage,society_and_culture,,
marriage,persons,,
marriage officiant,society_and_culture,,
marriage officiant,persons,,
migration,ignore,,
minister,society_and_culture,,
minister,persons,,
missing persons,persons,,
natural gas,economics_and_industry,,
nesting birds,nature_and_environment,,
nesting reptiles,nature_and_environment,,
nesting site,nature_and_environment,,
northern health programs,health_and_safety,,
nurse,health_and_safety,,
nursery,ignore,,
officiant,persons,,
old age security,economics_and_industry,,
opp annual report,law,,
owb,ignore,,
parking lots,transport,,
pastor,society_and_culture,,
pastor,persons,,
payroll deduction,economics_and_industry,,
phone number,ignore,,
poultry,agriculture,,
prêtre,society_and_culture,,
prêtre,persons,,
prices,economics_and_industry,,
priest,society_and_culture,,
priest,persons,,
program funding,economics_and_industry,,
propane,economics_and_industry,,
puits,economics_and_industry,,
rabbi,society_and_culture,,
rabbi,persons,,
rates,economics_and_industry,,
rates,government_and_politics,,
régions rurales et du nord,society_and_culture,,
regulations,law,,
resting,ignore,,
reverend,society_and_culture,,
reverend,persons,,
rules,law,,
rural and north,society_and_culture,,
santé,health_and_safety,,
santé et bien-être,health_and_safety,,
schools,education_and_training,,
secondaire,ignore,,
secondary,ignore,,
seed collection,agriculture,,
seed deployment,agriculture,,
seed zone,agriculture,,
seniors,society_and_culture,,
services correctionnels,law,,
sheep,agriculture,,
sikh,society_and_culture,,
sikh,persons,,
staging,ignore,,
status,ignore,,
swine,agriculture,,
taux,economics_and_industry,,
taux,government_and_politics,,
taxes,economics_and_industry,,
taxes,government_and_politics,,
taxes and benefits,economics_and_industry,,
testing,ignore,,
tests,ignore,,
travail et emploi,labour,,
travel,ignore,,
travel and recreation,society_and_culture,,
travel and recreation,transport,,
travel and recreation,arts_music_literature,,
travel corridor,nature_and_environment,,
tree seed,nature_and_environment,,
underserviced area programs,society_and_culture,,
urgent demands for records,ignore,,
values,ignore,,
volailles,agriculture,,
water,nature_and_environment,,
water,science_and_technology,,
water quality,nature_and_environment,,
water quality,science_and_technology,,
watershed,nature_and_environment,,
wedding,society_and_culture,,
wells,economics_and_industry,,
wildlife,nature_and_environment,,
wintering,nature_and_environment,,
_default_tag_value_,society_and_culture,,
agri-food trade,agriculture,,
agri-food trade,economics_and_industry,,
apple production,agriculture,,
asparagus production,agriculture,,
bean production,agriculture,,
beet production,agriculture,,
broccoli production,agriculture,,
cabbage production,agriculture,,
carrot production,agriculture,,
cattle exports,agriculture,,
cattle exports,economics_and_industry,,
celery production,agriculture,,
census of agriculture,agriculture,,
census of agriculture,economics_and_industry,,
commercial fruit crops production,agriculture,,
commercial vegetable crops production,agriculture,,
cucumber production,agriculture,,
dairy production,agriculture,,
egg production,agriculture,,
exportations de bovins,agriculture,,
exportations de bovins,economics_and_industry,,
farm data by county,agriculture,,
farm data by county,economics_and_industry,,
farm expenses,agriculture,,
farm expenses,economics_and_industry,,
farm income,agriculture,,
farm income,economics_and_industry,,
field crop production,agriculture,,
fruit and vegetable production,agriculture,,
fruit production and yield,agriculture,,
gdp,economics_and_industry,,
government payments to farmers,agriculture,,
government payments to farmers,economics_and_industry,,
grain corn,agriculture,,
green pea production,agriculture,,
honey production,agriculture,,
livestock numbers,agriculture,,
local food,agriculture,,
local food,society_and_culture,,
manufacturing industries,economics_and_industry,,
maple syrup production,agriculture,,
mushroom production,agriculture,,
nurseries,ignore,,
onion production,agriculture,,
ontario fruit and vegetables,agriculture,,
ontario greenhouse vegetable production,agriculture,,
pepper production,agriculture,,
personnes âgées,society_and_culture,,
pig exports,agriculture,,
pig exports,economics_and_industry,,
potato production,agriculture,,
poultry production,agriculture,,
prestations,economics_and_industry,,
production des betteraves,agriculture,,
production des citrouilles,agriculture,,
production des épinards,agriculture,,
production des légumes de serre en ontario,agriculture,,
production des poivrons,agriculture,,
production des radis,agriculture,,
production des rutabagas,agriculture,,
production des tomates,agriculture,,
production du maïs sucré,agriculture,,
pumpkin production,agriculture,,
radish production,agriculture,,
recensement de l'agriculture,agriculture,,
recensement de l'agriculture,economics_and_industry,,
rutabaga production,agriculture,,
sécurité de la vieillesse,society_and_culture,,
sécurité de la vieillesse,economics_and_industry,,
spinach production,agriculture,,
sweetcorn production,agriculture,,
tomato production,agriculture,,
financement du programme,economics_and_industry,,
justice et sécurité publique,law,,
retenues salariales,economics_and_industry,,
voyage et loisirs,society_and_culture,,
voyage et loisirs,transport,,
voyage et loisirs,arts_music_literature,,
